Category url,Category id,Category name,Number items,Parent category id,Sub category id
https://www.sendo.vn/gay-nang-tap-di/,2734,"Khung, nạng, gậy tập đi",156,1992-2821-2734,2822-2734-2735-2737-2736
https://www.sendo.vn/tui-chuom/,2735,Túi chườm,424,1992-2821-2735,2822-2734-2735-2737-2736
https://www.sendo.vn/dung-cu-vat-ly-tri-lieu-khac/,2736,Dụng cụ vật lý trị liệu khác,728,1992-2821-2736,2822-2734-2735-2737-2736
https://www.sendo.vn/massage-go/,2737,Dụng cụ massage bằng gỗ,144,1992-2821-2737,2822-2734-2735-2737-2736
https://www.sendo.vn/ghe-bo-ve-sinh/,2738,Ghế bô vệ sinh,128,1992-1995-2738,2017-2018-2019-2738-2020
