Domain,Url,Product_id,Time,Rating,Comment
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-29_09-14-57,5,da nhan dc hag
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-28_16-47-57,5,"Đã nhận hàng, ưng ý."
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-28_14-36-39,5,"Mua lúc giảm giá còn 299K, quá tuyệt."
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-28_14-19-01,5,sản phẩm ok
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-26_18-27-36,5,"giá sale 290K 1 bộ, ưng ý"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-26_14-39-25,4,mat na han su dung hoi gan
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-24_09-48-32,5,"Hàng ok, kính đẹp"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-24_07-01-17,5,Trừi ... thật là thích ...😍😘😍
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-23_20-55-22,4,Đã nhận hàng. Kem chống nắng chỉ có 70ml thay vì 100ml như mô tả
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-23_09-02-13,5,"Hàng đã nhận, đóng gói cẩn thận, thanks yes!"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-23_09-01-58,5,"Hàng đã nhận, đóng gói cẩn thận, thanks yes!"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_18-40-53,5,san pham chuan nhu hinh
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_14-39-47,5,kính đẹp như hình
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_14-08-16,5,Kính đẹp. Mặt nạ 7 trắng 3 tím.
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_14-01-21,5,sản phẩm đẹp
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_14-01-13,5,sản phẩm đẹp
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1708303&page=10,1708303,2018-11-22_14-01-05,5,sản phẩm đẹp
