Domain,Url,Product_id,Time,Rating,Comment
yes24.vn,https://www.yes24.vn/may-danh-sua-tu-dong-pha-tra-sua-matcha-va-pha-tra-sua-lipton-kahchan-ep2178-p1546560.html,1546560,2016-09-06_09-43-34,5,"Đẹp, chất lượng. Rất thích"
yes24.vn,https://www.yes24.vn/may-danh-sua-tu-dong-pha-tra-sua-matcha-va-pha-tra-sua-lipton-kahchan-ep2178-p1546560.html,1546560,2016-09-06_09-05-19,5,"Máy này sử dụng chất lượng cực, mẫu mã còn bắt mắt nữa. Rất phù hợp với nhiều quán cà phê lắm. Rất Hài Lòng!"
yes24.vn,https://www.yes24.vn/may-danh-sua-tu-dong-pha-tra-sua-matcha-va-pha-tra-sua-lipton-kahchan-ep2178-p1546560.html,1546560,2016-06-23_15-24-02,5,"Máy gọn nhẹ, pha chế ngon, tiện dụng, chạy êm, phù hợp Gđ, quán cf nhỏ, nhưng giao thiếu quà khuyến mãi nên đang chờ nhận quà sau."
yes24.vn,https://www.yes24.vn/hop-ham-nong-ariranglife-13l-elals2012-1764375-p1764375.html,1764375,2017-10-18_22-11-46,5,Đóng gói kỹ. Chưa dùng thử. Thấy tốt
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-10-31_10-25-23,5,"Mới sử dụng, tạm ổn"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-08-06_21-54-01,5,Hy vọng dùng tốt
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-07-06_11-40-00,5,"Đã dùng, nồi chống dính và dùng rất tiện."
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-06-12_08-32-55,5,"Đã nhận được hàng, mua được với giá giảm, sp này mình đang sử dụng rất ok!"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-06-03_11-10-52,5,"San pham nhin rat dep, chac chan."
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1842311&page=2,1842311,2018-05-25_04-29-24,5,"Sản phẩm nhìn rất chắc chắn, hy vọng xài tốt."
yes24.vn,https://www.yes24.vn/honeydeal-dau-doc-the-nho-kingston-microsd-gen-2-fcrmrg2-20-1892726-p1892726.html,1892726,2018-04-10_00-40-21,2,"Đầu hơi nhỏ, gắn với kéo thẻ nhớ khó khăn"
yes24.vn,https://www.yes24.vn/pin-sac-du-phong-10000mah-texet-pbsb9-p1909789.html,1909789,2018-11-21_14-03-31,5,Pin Dung lượng 10000mAh mà giá 299k khá rẻ.
yes24.vn,https://www.yes24.vn/may-xay-thuc-pham-2-luoi-dao-kep-magic-korea-15l-a04-p1927219.html,1927219,2018-11-29_10-57-37,5,"Hàng đẹp, đóng gói cẩn thận . Tks Yes"
yes24.vn,https://www.yes24.vn/may-xay-thuc-pham-2-luoi-dao-kep-magic-korea-15l-a04-p1927219.html,1927219,2018-11-25_16-58-36,5,Đa nhan hang
yes24.vn,https://www.yes24.vn/may-lam-toi-den-08-ngay-magic-korea-5l-a69-p1927233.html,1927233,2018-08-14_09-00-52,5,"Sản phẩm giống hình,hy vọng dùng được."
yes24.vn,https://www.yes24.vn/may-lam-toi-den-08-ngay-magic-korea-5l-a69-p1927233.html,1927233,2018-06-25_18-43-17,5,Nồi đẹp hy vọng dùng tốt
yes24.vn,https://www.yes24.vn/may-lam-sua-dau-nanh-magic-korea-13l-a68-p1927226.html,1927226,2018-10-31_07-29-53,5,đã nhận hàng. đóng gói cẩn thận. nấu ok
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-10-10_15-18-57,5,"vừa nhận sản phẩm ,tạm được xuát xứ Trung Quốc"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-09-29_15-02-09,5,Đã mua hàng nhưng chưa xài chưa bt
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-09-29_15-02-07,5,Đã mua hàng nhưng chưa xài chưa bt
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-08-16_10-49-37,5,"vừa nhận sản phẩm, rất đẹp"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-08-16_10-31-21,5,Đẹp!!! Hài lòng!!!
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-08-15_07-07-23,5,Đợi nhận sản phảm
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-08-14_10-35-14,5,"sản phẩm tiện lợi, đun sôi nhanh, sử dụng được thành ca để uống nước. .mẫu mã đẹp, bắt mắt. giá sale quá rẻ so với chất lượng"
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1927582&page=3,1927582,2018-08-12_06-33-23,5,"Hang tot,dep"
